weekday,time,ID,Password
monday,08:00,,
monday,09:50,,
monday,11:40,,
monday,13:30,,
monday,15:20,,
monday,17:10,,
tuesday,08:00,,
tuesday,09:50,,
tuesday,11:40,,
tuesday,13:30,,
tuesday,15:20,,
tuesday,17:10,,
wednesday,08:00,,
wednesday,09:50,,
wednesday,11:40,,
wednesday,13:30,,
wednesday,15:20,,
wednesday,17:10,,
thursday,08:00,,
thursday,09:50,,
thursday,11:40,,
thursday,13:30,,
thursday,15:20,,
thursday,17:10,,
friday,08:00,,
friday,09:50,,
friday,11:40,,
friday,13:30,,
friday,15:20,,
friday,17:10,,
